source,headline,url,content,image
Barrons.com,"After Plunging 13%, Kohl’s Stock Is Holding Steady Today. Thank the Many Suitors.",https://finance.yahoo.com/m/5fc6fadf-5033-3e9d-a493-65b6e4c0a429/after-plunging-13-kohl%E2%80%99s.html,"Kohl’s  stock got a reprieve early Tuesday after the department-store chain disclosed late Monday that it had attracted more than 20 potential suitors before ultimately rejecting takeover bids.  The move, coming after yesterday’s 13% plunge, demonstrates how many investors are still hoping for a sale, although it wasn’t enough to keep the stock from sliding again.  Kohl’s (ticker: KSS) said in a regulatory filing that advisor Goldman Sachs had talked to more than 20 interested parties since the start of the year, and that some had gone as far as to sign confidentiality agreements that allowed them to access some of Kohl’s financial data.",https://s.yimg.com/uu/api/res/1.2/tfORcfSINUzHP6M38rxJJA--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/G6KcX0CyEWMQCWKBwskhQw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/3f06d1f81d4b635221781cf4ebfdf1f7.cf.jpg
MarketWatch,"Mullen Automotive stock surges again, has now more than doubled since snapping record losing streak",https://finance.yahoo.com/m/a93c15a2-942d-3cb4-9dcf-52e8dc93c2e9/mullen-automotive-stock.html,"Shares of Mullen Automotive Inc. charged 16.1% higher in very active morning trading Tuesday. The electric vehicle maker's stock has already traded in a range of up 6.6% at the intraday low of $1.13, to up 35.8% at the high of $1.44, as trading volume bulged to 85.7 million shares. On Monday, the stock rocketed 34.9% on volume of 257.9 million shares. The company has not immediately responded to a request to confirm that it has not issued a press release, as per its website, or filed anything wi",https://s.yimg.com/uu/api/res/1.2/KVZNH4zA8LdDg6Rls3UodQ--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/S8SCotpO9m2XQyQUIGU5dw--~B/aD02MzA7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/marketwatch.com/96d076434b2a015a3010bd2787b8c856.cf.jpg
Barrons.com,"Betting on Biogen Stock Isn’t Worth the Risk, Analyst Says",https://finance.yahoo.com/m/7dc3be93-2f99-39c2-b708-1abc71c8a154/betting-on-biogen-stock-isn%E2%80%99t.html,"Stifel analyst Paul Matteis downgraded shares of the company, best known for its Alzheimer's treatment Aduhelm, to Hold from Buy,",https://s.yimg.com/uu/api/res/1.2/vIvWMt7YnJF_i64ldCUPVQ--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/rO3X4LvHM_IMzHNEnyfQsw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/42c7667a714b64e8de1bf88e8a26c580.cf.jpg
Bloomberg,Elon Musk Asks Judge to Block SEC Subpoena Over Tweets on Tesla Stock Sale,https://finance.yahoo.com/news/musk-asks-judge-block-sec-141621631.html,"(Bloomberg) -- Tesla Inc. Chief Executive Officer Elon Musk asked a judge to end a 2018 consent decree with the U.S. Securities and Exchange Commission that he claims is being used “to trample on Mr. Musk’s First Amendment rights and to impose prior restraints on his speech.”Most Read from BloombergUkraine Update: Russia’s Gas Threat; Cease-Fire Talks StruggleChina Warns U.S. Over Forming Pacific NATO, Backing TaiwanBiden to Sign Crypto Order as Firms Face Sanctions PressureCovid Can Shrink the",https://s.yimg.com/uu/api/res/1.2/tJPHZTI1k6SRa6WFQM0eBw--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/ptEMNQSrInXJgdo9nnPfZA--~B/aD0xMTUzO3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_markets_842/620714289083ae8f5795b534357279e8.cf.jpg
Investor's Business Daily,Rivian Stock: EV Maker Hikes Prices Ahead Of Earnings,https://finance.yahoo.com/m/5f46a16e-09a2-3126-9a68-4445599ea1a8/rivian-stock-ev-maker-hikes.html,EV maker Rivian will report fourth-quarter earnings Thursday amid production woes and a price-hike fiasco that rankled customers. Rivian stock fell.,https://s.yimg.com/uu/api/res/1.2/L5NKseG7T2NEQsU6Z0LUmA--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/ZzjZqCJJh2AquBWHdi00yg--~B/aD01NzI7dz0xMDEyO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/e50eb826799458e46567b7fba87c11c9.cf.jpg
Barrons.com,The Dow Can’t Bounce—and What Else Is Happening in the Stock Market Today,https://finance.yahoo.com/m/342f92fc-9104-3459-98b2-0dfc1695cdda/the-dow-can%E2%80%99t-bounce%E2%80%94and-what.html,"Investors have sought havens amid the turmoil in stocks. Gold prices approached $2,020 an ounce, getting near to a record closing high of $2,069.",https://s.yimg.com/uu/api/res/1.2/ufZSkt4Z2UgCtXOS_6hHGA--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/kaAKT8KDr4vKMbIqpWpozg--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/49fbc47dc92e63c1b6c96e2fccfdc0bd.cf.jpg
Barrons.com,Rivian Earnings Are Coming. Wall Street Is Cutting Price Targets in Preparation.,https://finance.yahoo.com/m/8c8f89a9-b6d6-3cde-ad71-41d6577693d3/rivian-earnings-are-coming-.html,Rivian reports fourth-quarter numbers on March 10. Analysts are getting more conservative going into the earnings report.,https://s.yimg.com/uu/api/res/1.2/mgZt2PkN6Irm9bc_47g9Ow--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/vyfNbHmQmXsKufk_wkS9jg--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/213cf2e9bead1656dfaaef13f605fe2d.cf.jpg
Investor's Business Daily,Millennial And Gen Z Stock Picks From Tesla To Apple: Should You Buy Them Too?,https://finance.yahoo.com/m/f9e3c029-2453-38e6-a9bf-eedc0ce911bd/millennial-and-gen-z-stock.html,Millennials and Gen Z are investing earlier than previous generations. What are their top stock picks? And should you buy them too?,https://s.yimg.com/uu/api/res/1.2/vtpVhp1yuqSbFZ0TqJb4Ig--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/MtlgaOYLtUkgPp_YvoXPiw--~B/aD01NzI7dz0xMDEyO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/fc3c93cc5234bc1198d6ce1f01525fb2.cf.jpg
Investor's Business Daily,GE Stock A Buy? General Electric To Update Investors On 'Historic' 3-Way Split,https://finance.yahoo.com/m/b4189a90-d905-3a81-b870-75b8a2d36d75/ge-stock-a-buy-general.html,"General Electric is poised to emerge as an aviation pure-play, after the industrial icon spins off its lower-growth units. Is GE stock a buy?",https://s.yimg.com/uu/api/res/1.2/Vzabad2grFHs6kYTlAC9XQ--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/0L4ZSQ.kDw2h_Izb4Wfc9A--~B/aD01NzI7dz0xMDEyO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/bacc577bd92151072489866228f19db3.cf.jpg
Bloomberg,Buy-and-Hold Has Lost to Every Single Chart Model in 2022 Stock Market,https://finance.yahoo.com/news/buy-hold-lost-every-single-150640446.html,"(Bloomberg) -- For an idea of how difficult 2022 has been for patient investors, consider this: Buying and holding stocks has done worse as a strategy than literally every chart-based trading model in Bloomberg’s technical-analysis library.Most Read from BloombergUkraine Update: Russia’s Gas Threat; Cease-Fire Talks StruggleChina Warns U.S. Over Forming Pacific NATO, Backing TaiwanBiden to Sign Crypto Order as Firms Face Sanctions PressureCovid Can Shrink the Brain as Much as a Decade of Aging,",https://s.yimg.com/uu/api/res/1.2/DGddwbwura5.ZSs6S6IVag--~B/Zmk9c3RyaW07aD0xMjM7cT04MDt3PTIyMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/uu/api/res/1.2/focmCmhWgfMFauqF7bPlTw--~B/aD02MTM7dz0xMjMzO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/5d1f2ccea0c0bf98d57880a43b8a82b4.cf.jpg
